BBLCOUNT        1.0         0
0x55555555cef1 0 3 13
0x55555555cf22 4 2 9
0x55555555cf2b 0 3 20
0x55555555c170 4 2 9
0x55555555ceb0 4 9 40
0x55555555e427 4 7 28
0x55555555e412 1 4 21
0x55555555e3f0 1 4 13
0x55555555e3b3 1 13 61
0x55555555df8b 1 7 14
0x55555555df86 1 2 5
0x55555555df3a 6 2 5
0x55555555df2e 6 4 12
0x55555555df25 6 3 9
0x55555555de98 3 3 16
0x55555555df63 1 4 18
0x55555555df5d 1 2 6
0x55555555df50 4 3 13
0x55555555df3f 0 5 13
0x55555555df3a 6 2 5
0x55555555c6c5 4 3 10
0x55555555c6cf 0 2 9
0x55555555c6d8 0 2 5
0x55555555c6d8 4 2 5
0x55555555c6dd 0 2 10
0x55555555c71c 4 2 9
0x55555555c725 0 3 17
0x55555555c736 0 7 30
0x55555555c960 4 5 18
0x55555555c972 4 6 28
0x555555559088 1 2 9
0x555555558ebd 0 4 22
0x555555558eb4 1 2 9
0x555555558e66 1 10 78
0x55555555db14 8 2 5
0x55555555db0a 8 3 10
0x55555555c42d 8 9 18
0x55555555c404 8 8 41
0x55555555c31a 0 3 13
0x555555558e50 1 3 22
0x55555555c3e7 12 7 29
0x55555555cf7e 0 5 25
0x55555555cf97 4 5 15
0x55555555ca60 4 14 42
0x55555555ca8a 0 3 8
0x55555555ca92 0 10 45
0x55555555cb10 4 3 11
0x55555555cb1b 0 3 20
0x55555555cb2f 0 4 22
0x55555555ca92 4 10 45
0x55555555c650 4 29 117
0x55555555c330 4 2 13
0x55555555c33d 0 3 13
0x55555555c40c 4 6 33
0x55555555c42d 4 9 18
0x55555556b3a0 2 2 8
0x55555556b39c 2 2 4
0x55555556b397 2 1 5
0x55555556b270 2 6 16
0x55555556b280 2 5 17
0x55555556b3a8 2 2 4
0x55555556b3ac 0 1 5
0x55555556b3ec 2 5 12
0x55555556b380 2 6 16
0x55555556b390 2 3 7
0x55555556b536 1 8 15
0x55555556b52d 1 3 9
0x55555556b42f 2 3 9
0x55555556b42f 0 3 9
0x55555556b426 0 2 9
0x55555556b422 2 2 4
0x55555556b410 2 5 13
0x55555556b517 1 6 22
0x55555556b511 1 2 6
0x55555556b4e0 1 15 49
0x55555556b41d 2 1 5
0x55555556adca 1 3 8
0x55555556b560 1 4 18
0x55555556b2ae 2 4 5
0x55555556add2 1 8 24
0x55555556b299 0 2 5
0x55555556b295 2 2 4
0x55555556adc0 1 2 10
0x55555556ad5d 0 2 8
0x55555556ad50 1 6 13
0x55555556b291 2 2 4
0x55555556b574 1 4 13
0x7fffe30f000d 1 2 5
0x7fffe30f0000 1 3 13
0x7fffe30f04d0 1 3 15
0x7fffe30f0020 1 2 13
0x7fffe30f0070 1 3 15
0x7fffe30f0020 3 2 13
0x7fffe30f04b0 1 3 15
0x7fffe30f03e0 1 3 15
0x7fffe30f0580 1 2 11
0x7fffe30f0a10 6 2 11
0x7fffe30f0940 1 2 11
0x7fffe30f05d0 1 2 11
0x7fffe30f0a30 1 2 11
0x7fffe30f0b2f 0 1 2
0x7fffe30f0b23 0 3 12
0x7fffe30f0b10 1 4 19
0x7fffe30f0b38 1 1 1
0x7fffe30f0b40 1 9 36
0x7fffe30f0b70 0 1 2
0x7fffe30f0b64 0 3 12
0x7fffe30f0b78 1 1 1
0x7fffe30f0ba7 1 1 5
0x7fffe30f0bac 1 3 9
0x7fffe30f0b9b 1 2 12
0x7fffe30f0b80 1 3 13
0x7fffe30f0b8d 1 4 14
0x7fffe30f0bc0 1 2 9
0x7fffe30f0f44 0 13 69
0x7fffe30f0dc0 1 15 73
0x7fffe30f0ed8 1 7 38
0x7fffe30f0efe 1 8 38
0x7fffe30f0f24 1 3 17
0x7fffe30f0f57 1 10 50
0x7fffe30f0ebf 1 5 25
0x7fffe30f0ebc 14 1 3
0x7fffe30f0ebc 1 1 3
0x7fffe30f0e56 1 18 105
0x7fffe30f0e09 1 12 77
0x7fffe30f0f89 1 3 9
0x7fffe30f0f92 1 3 11
0x7fffe30f0f9d 1 20 93
0x7fffe30f0ffa 1 7 36
0x7fffe30f101e 1 10 66
0x7fffe30f1060 0 3 11
0x7fffe30f1070 1 12 78
0x7fffe30f10be 1 3 22
0x7fffe30f0f35 1 4 15
0x7fffe30f10d4 1 3 19
0x7fffe30f10e7 1 5 12
0x7fffe30f5004 2 8 24
0x7fffe30f4fc0 2 7 21
0x7fffe30f50be 2 2 12
0x7fffe30f50b3 2 3 11
0x7fffe30f4fd5 2 4 9
0x7fffe30f4fde 0 3 10
0x7fffe30f5058 2 2 8
0x7fffe30f5060 2 4 11
0x7fffe30f506b 2 3 13
0x7fffe30f50ad 2 2 6
0x7fffe30f67e2 2 3 5
0x7fffe30f67cb 2 7 23
0x7fffe30f6861 2 1 5
0x7fffe30f685b 2 2 6
0x7fffe30f6853 0 2 8
0x7fffe30f6846 2 3 13
0x7fffe30f683b 2 4 11
0x7fffe30f6808 0 3 14
0x7fffe30f6800 2 2 8
0x7fffe30f67cb 0 7 23
0x7fffe30f67c4 2 3 7
0x7fffe30f67b0 2 6 20
0x7fffe30f7d96 2 13 36
0x7fffe30f7d87 2 4 15
0x7fffe30f7d7c 2 3 11
0x7fffe30f7ee2 0 2 9
0x7fffe30f7ec7 0 7 27
0x7fffe30f7ebf 2 2 8
0x7fffe30f7d87 2 4 15
0x7fffe30f7d30 3 14 37
0x7fffe30f7d55 3 6 15
0x7fffe30f7d64 3 4 14
0x7fffe30f7d72 3 4 10
0x7fffe30f7d7c 2 3 11
0x7fffe30f7d9d 1 12 29
0x7fffe30f8b60 3 14 48
0x7fffe30f8b90 0 5 14
0x7fffe30f8b9e 0 3 9
0x7fffe30f8c38 3 8 29
0x7fffe30f8c55 3 9 25
0x7fffe30f8bd4 3 5 9
0x7fffe30f8c7c 0 5 18
0x7fffe30f8c73 3 2 9
0x7fffe30f8c6e 3 2 5
0x7fffe30fcc50 6 12 56
0x7fffe30fcc88 6 5 18
0x7fffe30fccf8 6 1 1
0x7fffe30fcce5 0 4 12
0x7fffe30fcce1 6 2 4
0x7fffe30fccc0 6 7 33
0x7fffe30fe3d0 1 8 42
0x7fffe30fe54f 2 3 19
0x7fffe30fe3fa 1 32 156
0x7fffe30fe496 2 2 12
0x7fffe30fe4a2 2 3 12
0x7fffe30fe562 2 3 11
0x7fffe30fe3d0 1 8 42
0x7fffe30fe3fa 1 32 156
0x7fffe30fe4ae 0 2 8
0x7fffe310010e 1 2 5
0x7fffe31000fe 1 3 16
0x7fffe31000d0 1 9 46
0x7fffe3100216 1 3 6
0x7fffe31001fc 1 4 26
0x7fffe3100170 1 11 50
0x7fffe31001f2 1 3 10
0x7fffe31001a2 1 4 20
0x7fffe31001de 1 4 20
0x7fffe31001b6 1 4 20
0x7fffe31001ca 1 4 20
0x7fffe31004d8 1 4 13
0x7fffe3115016 1 2 5
0x7fffe3115014 0 1 2
0x7fffe3115000 1 5 20
0x7fffe3115140 1 2 11
0x7fffe3115220 1 3 16
0x7fffe3115230 1 4 19
0x7fffe31152c7 1 1 5
0x7fffe31152bb 1 2 12
0x7fffe31152ad 1 4 14
0x7fffe31152a0 1 3 13
0x7fffe3115243 0 3 12
0x7fffe311524f 0 1 2
0x7fffe3115258 1 1 1
0x7fffe31152cc 1 3 9
0x7fffe31152e0 1 2 9
0x7fffe3115260 1 9 36
0x7fffe3115284 0 3 12
0x7fffe3115290 0 1 2
0x7fffe3115298 1 1 1
0x7fffe31156d0 1 9 34
0x7fffe31156f2 0 4 17
0x7fffe311570c 1 3 16
0x7fffe311571c 1 3 6
0x7fffe3116150 1 4 18
0x7fffe311617c 1 4 13
0x7fffe311c016 1 2 5
0x7fffe311c014 0 1 2
0x7fffe311c000 1 5 20
0x7fffe311c180 1 2 11
0x7fffe311c378 1 1 1
0x7fffe311c370 0 1 2
0x7fffe311c364 0 3 12
0x7fffe311c340 1 9 36
0x7fffe311c3c0 1 2 9
0x7fffe311c380 1 3 13
0x7fffe311c38d 1 4 14
0x7fffe311c39b 1 2 12
0x7fffe311c3a7 1 1 5
0x7fffe311c310 1 4 19
0x7fffe311c323 0 3 12
0x7fffe311c32f 0 1 2
0x7fffe311c338 1 1 1
0x7fffe311c3ac 1 3 9
0x7fffe317fd90 1 4 13
